
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                         |  Mean duration (s)    |  Num calls            |  Total time (s) |  Percentage %         |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                          |  -                    |  1520                 |  18.074         |  100 %                |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                             |  15.783               |  1                    |  15.783         |  87.326               |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                     |  0.13421              |  41                   |  5.5026         |  30.445               |
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                 |  0.10126              |  41                   |  4.1517         |  22.971               |
|  [LightningModule]DQNAgent.transfer_batch_to_device                                                                                                             |  0.10121              |  41                   |  4.1496         |  22.959               |
|  run_training_batch                                                                                                                                             |  0.094864             |  41                   |  3.8894         |  21.52                |
|  [LightningModule]DQNAgent.optimizer_step                                                                                                                       |  0.094799             |  41                   |  3.8868         |  21.505               |
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                   |  0.089985             |  41                   |  3.6894         |  20.413               |
|  [LightningModule]DQNAgent.on_fit_start                                                                                                                         |  1.8936               |  1                    |  1.8936         |  10.477               |
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                        |  0.0024322            |  41                   |  0.099719       |  0.55174              |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       |  0.084072             |  1                    |  0.084072       |  0.46516              |
|  [LightningModule]DQNAgent.on_fit_end                                                                                                                           |  0.078744             |  1                    |  0.078744       |  0.43569              |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                   |  0.00023305           |  41                   |  0.0095551      |  0.052868             |
|  [LightningModule]DQNAgent.optimizer_zero_grad                                                                                                                  |  8.8223e-05           |  41                   |  0.0036171      |  0.020013             |
|  [Callback]ModelSummary.on_fit_start                                                                                                                            |  0.0010329            |  1                    |  0.0010329      |  0.0057152            |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    |  0.00080664           |  1                    |  0.00080664     |  0.0044631            |
|  [LightningModule]DQNAgent.configure_gradient_clipping                                                                                                          |  1.6254e-05           |  41                   |  0.00066641     |  0.0036872            |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       |  1.2161e-05           |  41                   |  0.00049862     |  0.0027588            |
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                       |  0.00041586           |  1                    |  0.00041586     |  0.0023009            |
|  [LightningModule]DQNAgent.train_dataloader                                                                                                                     |  0.00030399           |  1                    |  0.00030399     |  0.001682             |
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                 |  2.9116e-06           |  41                   |  0.00011938     |  0.0006605            |
|  [Callback]TQDMProgressBar.on_train_end                                                                                                                         |  9.947e-05            |  1                    |  9.947e-05      |  0.00055036           |
|  [LightningModule]DQNAgent.configure_optimizers                                                                                                                 |  9.944e-05            |  1                    |  9.944e-05      |  0.00055019           |
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                  |  2.1033e-06           |  41                   |  8.6235e-05     |  0.00047713           |
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                      |  1.93e-06             |  41                   |  7.9132e-05     |  0.00043783           |
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                    |  1.8211e-06           |  41                   |  7.4665e-05     |  0.00041312           |
|  [LightningModule]DQNAgent.on_before_batch_transfer                                                                                                             |  1.6748e-06           |  41                   |  6.8665e-05     |  0.00037992           |
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                   |  6.7278e-05           |  1                    |  6.7278e-05     |  0.00037224           |
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                   |  1.5774e-06           |  41                   |  6.4674e-05     |  0.00035784           |
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                 |  6.2029e-05           |  1                    |  6.2029e-05     |  0.0003432            |
